row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,A,A,K,K,A,K,A,K,K,K,A,A,A,F,F,A,A,A,A,A,F,F,A,A,L,L,L,L,L,L,L,L,L,A,A,G,G,G,A,L,A,L,A,A,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,A,A,A,K,H,K,K,K,K,K,K,A,A,,A,F,A,A,F,G,G,G,G,G,G,G,F,A,L,L,K,L,L,L,L,L,E,E,A,G,H,E,A,L,A,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,K,K,K,K,K,K,K,K,K,K,K,A,A,,,,F,A,F,F,F,A,G,G,G,G,G,F,F,F,A,A,L,L,D,L,A,A,A,E,E,A,G,D,A,A,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,K,K,K,K,K,K,A,A,A,,,,,A,A,F,F,F,F,F,A,A,G,G,G,G,K,A,D,A,A,A,A,D,A,I,A,A,A,D,D,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,A,A,A,,,,,,,,F,F,F,A,A,F,F,F,A,A,G,G,G,H,A,D,D,D,A,D,A,A,I,A,C,A,I,I,I,I,A,A,A,A,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,F,F,A,F,F,F,F,F,F,F,A,A,A,A,A,A,D,E,D,A,D,D,D,D,A,I,A,A,I,I,I,I,I,A,A,A,A,A,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,F,F,F,A,F,F,F,F,G,G,F,F,F,H,A,A,A,E,E,D,A,A,D,A,B,A,I,I,I,I,I,I,A,I,I,I,I,I,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,F,F,F,G,G,G,G,G,G,G,F,F,A,E,E,E,A,J,J,J,J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,A,A,A,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,F,F,F,F,G,G,G,G,G,G,A,A,F,B,E,E,A,J,J,J,J,A,K,K,K,K,B,A,A,A,A,A,A,I,I,I,I,I,I,I,I,I,I,I,I,I,I,A,A,A,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,F,F,F,H,G,G,G,G,G,G,G,G,G,G,B,E,E,A,J,J,J,A,H,H,A,A,A,A,K,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,F,F,F,F,F,A,G,G,G,G,G,G,G,G,G,A,A,K,E,E,A,J,J,A,H,H,H,H,A,B,B,A,C,A,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,F,F,F,A,F,G,G,G,G,G,F,K,H,H,H,F,F,A,E,E,E,A,K,H,H,H,H,H,A,A,B,A,C,C,A,K,K,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,H,F,F,F,F,F,F,A,F,F,F,F,A,F,H,A,E,E,E,E,A,A,A,A,L,J,A,C,A,B,B,C,B,A,A,A,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,F,F,A,A,A,F,F,G,G,G,F,F,F,A,F,A,E,E,J,J,J,J,J,A,A,B,C,C,C,B,C,B,C,B,A,A,K,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,F,H,A,F,F,F,G,G,G,G,F,F,A,K,F,F,G,A,E,J,J,J,J,A,A,C,C,C,C,A,A,A,A,A,C,B,B,B,A,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,F,A,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,F,A,J,J,J,A,A,B,C,C,B,C,C,C,A,,,A,A,A,C,A,K,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,F,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,A,F,A,J,J,J,A,A,B,C,C,C,C,B,C,B,A,,,,,A,B,K,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,F,F,F,A,F,F,G,H,G,G,G,G,G,G,G,G,G,K,A,G,G,A,J,J,A,C,A,A,C,C,C,A,C,B,B,B,A,,,,,A,K,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,F,F,F,F,G,G,G,G,G,G,G,G,A,A,A,G,G,G,H,J,A,A,B,A,B,B,C,C,B,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,F,F,F,G,G,A,A,A,A,A,K,G,G,G,G,G,G,A,K,A,A,C,C,C,A,A,B,C,C,A,,,,,A,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,A,F,F,H,F,G,G,A,F,F,A,G,G,G,G,G,G,G,A,A,G,K,A,A,C,C,C,C,A,A,C,B,B,A,A,K,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,H,F,F,F,F,F,F,A,F,F,F,G,G,G,G,G,G,G,G,G,G,G,A,B,B,A,C,B,B,B,A,A,A,A,A,B,A,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,C,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,A,A,F,F,F,A,A,F,F,A,F,F,F,A,A,G,G,G,G,G,G,G,G,G,A,A,A,A,B,C,C,C,C,B,A,A,,L,A,B,A,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,A,A,A,B,B,C,B,C,C,C,A,A,A,,,,,,,,,,,,,,,,,A,A,A,A,A,F,F,F,A,F,F,A,G,G,G,G,G,G,G,G,A,A,A,A,B,B,C,B,B,C,B,B,B,A,B,L,,C,B,A,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,A,B,A,J,,,,,,,,A,A,B,B,C,B,C,B,C,C,B,C,B,B,C,A,,,,,,,,,,,,,,,,,,A,H,F,F,F,A,F,F,F,A,A,G,G,G,A,A,A,A,A,A,B,B,A,B,B,A,A,B,B,B,A,A,A,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,A,C,B,A,A,A,A,A,B,C,B,B,B,C,B,C,C,C,C,C,B,B,C,B,B,B,A,,,,,A,,,,,,,,,,A,A,F,F,F,A,A,F,F,F,F,A,G,G,A,F,F,F,A,B,B,A,B,B,B,C,B,B,B,B,C,A,B,B,A,B,A,,,,,,,,,,,,,,,,,,,,,,,,,
