row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
73,,,,,A,C,C,B,A,A,C,C,C,C,C,C,B,A,A,,,,,,,,,,,,,,,,,A,A,A,B,C,A,D,D,D,D,D,D,D,D,D,A,D,D,E,A,A,A,A,A,A,J,J,J,J,J,J,J,J,J,J,D,B,A,A,D,D,D,D,D,D,D,D,D,E,A,J,J,J,J,J,J,J,A,,,,,,,,J,,K,A,A,C,C,C,B,,,,,,,,,,,
74,,,,,,A,B,C,C,A,A,C,C,C,C,C,C,C,B,A,L,,,,,,,,,,,,B,A,A,C,C,C,A,C,D,D,D,D,D,D,D,D,D,A,D,D,D,A,D,D,D,D,D,A,A,A,J,J,J,J,J,J,J,J,D,C,B,A,D,D,D,D,D,D,D,D,D,A,A,J,J,J,J,J,J,A,,,,,,,,,A,A,B,B,C,C,C,C,B,,,,,,,,,,,
75,,,,,,,A,B,B,B,B,A,C,C,C,C,A,C,C,B,A,D,,,,,,,,,,,B,C,B,B,B,C,B,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,A,A,J,J,J,J,J,J,D,C,C,C,A,D,A,D,D,D,D,D,D,D,A,J,J,A,J,J,J,A,,,,,,,,A,,A,A,B,C,C,C,C,B,,,,,,,,,,,
76,,,,,,,A,B,C,C,A,B,A,C,C,C,C,B,B,C,B,A,,,,,,,,,,,,A,B,C,B,A,C,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,A,A,A,A,J,J,J,D,B,C,C,C,A,A,D,D,D,D,D,D,D,A,J,L,L,J,J,A,,,,,,,,,A,A,B,C,B,C,C,C,C,B,,,,,,,,,,,
77,,,,,,,,A,B,C,A,B,B,A,C,C,C,B,A,C,B,A,,,,,,,,,,,,A,A,A,A,B,C,D,A,D,D,D,D,D,D,D,D,D,D,A,K,D,D,D,D,D,D,D,D,D,D,A,,,D,A,A,A,A,C,C,C,C,B,A,D,D,D,D,D,D,D,A,J,A,J,J,J,A,,,,,,,,,A,B,C,B,C,C,C,C,C,B,,,,,,,,,,,
78,,,,,,,,,A,C,C,A,B,B,B,A,C,C,C,A,A,A,,,,,,,,,,A,A,C,C,B,B,B,A,D,D,D,D,D,D,D,D,D,D,A,A,D,D,D,D,D,D,D,D,D,D,C,A,,,,,,,,,,A,B,C,C,C,A,D,D,D,D,D,D,A,,A,J,J,A,,,,,,,,,K,A,C,B,C,C,C,C,C,C,B,,,,,,,,,,,
79,,,,,,,,,A,C,C,A,B,B,B,B,C,C,C,A,,A,,,,,,,,,,A,A,A,A,B,B,A,D,D,D,D,D,D,D,D,D,A,A,A,B,D,D,D,D,D,D,D,D,D,A,A,,,,,,,,,,A,,A,A,C,B,B,C,D,D,D,D,D,A,,A,J,J,A,,,,,,,,,,A,B,A,B,C,C,C,C,B,B,,,,,,,,,,,
80,,,,,,,,A,C,C,A,,A,B,B,B,C,C,C,C,A,,,,,,,,,,,,,A,A,A,A,C,D,D,D,D,D,D,A,A,A,,,A,D,D,D,D,D,D,D,D,D,D,A,,,,,,,,,,,A,A,A,A,A,B,C,B,D,D,D,D,D,A,,A,J,J,A,,,,,,,,,A,A,A,A,C,C,C,C,C,A,B,,,,,,,,,,,
81,,,,,,,A,A,C,A,A,,A,B,B,B,C,C,C,C,A,,,,,,,,,,,K,A,B,C,C,C,B,D,D,D,D,A,A,,,,A,A,D,D,D,D,D,D,D,D,D,A,A,,,,,,,,,,,,,A,B,C,B,A,C,B,B,D,D,D,D,A,,,J,J,A,A,,,,,,,A,A,A,A,C,A,C,C,C,B,L,,,,,,,,,,,,
82,,,,,,A,A,C,C,A,,,A,B,B,A,C,C,C,C,A,,,,,,A,,,,A,A,B,C,C,C,C,C,C,D,C,A,,,,A,A,A,D,D,D,D,D,D,D,D,A,A,,,,,,,,,,,,,,,,A,B,C,C,B,C,B,D,D,B,D,A,,,J,J,J,A,,,,,,A,A,K,A,A,A,B,C,C,B,A,L,,,,,,,,,,,,
83,,,,,,,,,,,,A,B,B,A,A,C,B,C,A,A,,,,,,A,B,B,B,B,A,B,C,C,C,C,C,A,A,,,,A,,A,B,D,D,D,D,D,D,B,A,,,,,,,,,,,,,,,,,,,,,A,B,C,C,B,C,C,C,B,A,,,,A,J,J,A,,,,,A,K,K,K,K,A,A,A,A,A,,,,,,,,,,,,,,
84,,,A,A,,,,,,,,B,B,B,A,C,C,C,B,A,,,,,,,,A,B,B,A,C,C,C,C,C,C,A,,,,,,A,B,B,B,D,C,D,D,D,A,J,,,,,,,,,,,,,,,,,,,,,,,A,A,C,C,B,C,C,B,B,A,,,,A,J,A,,,,,A,K,K,K,K,A,A,A,A,A,,,,,,,,,,,,,,
85,,,A,A,K,,,,,A,A,B,A,B,B,C,C,C,A,A,,,,,,,,,A,C,C,C,C,C,C,A,A,,,,,,,,A,A,B,C,C,B,D,D,A,J,,,,,,,,,,,,,,,,,,,,,,,,A,C,C,A,C,C,C,C,A,,,,A,A,A,,,,,A,K,K,K,A,K,K,A,A,,,,,,,,,,,,,,,
86,,,A,B,C,A,A,A,A,A,B,A,C,C,C,C,C,C,A,,,,,,A,A,A,B,C,B,C,B,C,C,A,K,L,,,,,,,,A,C,B,C,C,C,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,D,B,C,C,C,C,C,C,A,,,,A,,,,,,,A,K,K,K,K,K,A,B,,,,,,,,,,,,,,,,
87,,,,A,C,C,B,B,C,B,C,C,C,C,C,C,C,C,A,,,,,,A,A,B,B,B,A,B,B,C,C,A,J,,,,,,,,,A,B,A,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,L,A,C,C,C,C,C,A,,,,,L,,,,,,,A,A,K,A,K,K,A,K,,,,,,,,,,,,,,,,
88,,,,A,B,B,C,C,C,B,C,C,C,C,C,C,C,A,,,,,,,,A,A,B,A,C,B,C,B,A,,,,,,,,,,A,A,A,A,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,K,A,C,C,C,C,C,A,,,,,,,,,,,,,A,K,K,K,A,A,,,,,,,,,,,,,,,,,
89,,,,,,A,A,A,C,B,C,A,C,C,C,A,A,,,,,,A,,A,A,A,C,C,C,B,C,A,,,,,,,,,,,,A,B,B,A,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,L,C,C,C,C,C,A,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,
90,,,,,,L,L,L,A,A,B,C,C,C,B,A,L,,,,,,A,A,A,C,B,B,C,C,C,B,A,,,,,,,,,,,,A,A,A,A,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,L,C,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,C,B,C,B,C,C,C,C,B,A,A,,,,,,,,A,B,B,C,C,C,C,C,A,J,,,,,,,,,,,,,,A,B,B,C,C,C,B,A,J,,,,,,,,,,,,,,,,,,,,,,,L,A,C,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,A,A,A,C,C,C,A,A,A,,,,,,,,,,A,A,A,C,C,C,C,C,A,L,,,,,,,,,,,,,,A,B,A,C,C,C,B,A,J,,,,,,,,,,,,,,,,,,,,,,,L,A,B,C,C,C,C,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,A,A,A,A,A,A,,,,,,,,,,K,D,A,B,C,C,C,C,C,C,A,L,,,,,,,,,,,,,A,A,A,C,C,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,C,C,C,C,B,J,,,,,,,,,,,,,,,A,B,C,C,C,C,C,C,B,A,,,,,,,,,,,,,,,,,,,,,A,A,A,B,A,C,C,C,C,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,A,C,B,C,C,C,C,B,J,,,,,,,,,,,,,,A,A,C,A,C,C,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,A,B,C,B,B,C,C,C,C,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,A,C,B,A,C,C,B,B,B,J,,,,,,,,,,,,,,A,A,A,C,A,C,C,B,B,C,A,A,,,,,,,,,,,,,,,,,,,,A,A,A,A,C,C,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,A,B,B,A,C,B,B,C,A,B,L,,,,,,,,,,,,,,,,A,B,A,C,A,B,A,A,K,K,A,,,,,,,,,,,,,,,,,,,,,A,C,C,C,C,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,A,A,B,C,A,A,A,L,,,,,,,,,,,,,,,A,A,A,A,B,K,K,K,K,K,A,K,,,,,,,,,,,,,,,,,,A,A,B,B,C,C,C,C,C,C,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,K,A,B,A,A,A,J,,,,,,,,,,,,,,,,,A,K,K,K,K,K,K,K,K,A,,,,,,,,,,,,,,,,,,A,A,A,A,B,B,C,C,C,C,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,A,A,K,K,K,K,A,K,K,K,,,,,,,,,,,,,,,,,,A,K,K,K,K,K,K,A,K,K,A,,,,,,,,,,,,,,,,,,,A,B,B,B,C,C,C,C,C,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,A,K,K,K,K,K,K,K,K,A,J,,,,,,,,,,,,,,,,,,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,A,B,A,A,B,B,A,A,C,C,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,A,K,K,K,K,K,K,A,K,A,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,A,B,A,B,A,A,K,K,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,A,K,K,K,K,K,K,K,K,K,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,A,A,K,K,K,K,K,K,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,D,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,A,K,K,K,K,A,K,K,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,K,K,K,K,K,K,K,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,K,K,K,K,K,A,K,K,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
